"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","173.0","773.0","7.0","41.8","338.0","3.0","0.6","204.4"
"","low","135.0","586.6","4.6","36.0","281.0","2.0","2.0","178.6"
"James Robinson","JAC","182.2","797.1","5.5","30.4","217.4","1.0","1.5","168.2"
"","high","202.0","899.0","7.0","40.4","297.5","1.4","1.0","186.5"
"","low","160.6","687.1","4.3","15.1","105.0","0.7","2.0","137.7"
"Raheem Mostert","SF","155.5","774.3","6.1","26.0","224.5","1.4","1.4","168.0"
"","high","164.0","871.0","7.3","30.7","248.3","2.0","0.8","191.5"
"","low","144.0","716.3","5.0","23.0","192.7","1.0","2.0","156.8"
"Javonte Williams","DEN","188.2","835.2","5.5","25.9","202.7","1.1","2.0","165.4"
"","high","203.1","896.9","7.4","29.3","249.0","1.3","0.9","183.4"
"","low","159.0","715.0","4.7","17.0","144.0","1.0","3.0","147.8"
"Damien Harris","NE","212.3","998.9","5.9","11.5","87.8","0.3","1.4","154.4"
"","high","228.0","1,253.0","7.3","19.7","156.0","0.7","0.8","169.9"
"","low","188.0","845.0","5.0","3.0","31.0","0.0","2.0","133.4"
"Leonard Fournette","TB","164.3","673.4","6.2","28.0","191.3","0.8","1.2","153.9"
"","high","171.2","731.7","7.0","38.0","268.0","1.1","0.5","161.9"
"","low","155.0","635.0","5.0","21.0","141.0","0.0","2.0","141.6"
"Zack Moss","BUF","159.3","683.5","5.7","24.5","176.5","1.2","1.2","149.6"
"","high","178.0","785.0","6.7","34.0","251.5","1.6","0.3","168.9"
"","low","134.3","572.4","4.2","10.0","64.0","1.0","2.0","141.2"
"David Johnson","HOU","118.1","494.5","3.7","34.4","308.4","2.0","0.9","147.0"
"","high","130.0","574.0","4.2","44.0","386.0","3.0","0.7","166.4"
"","low","107.0","416.0","3.0","29.2","249.5","1.4","1.0","135.7"
"Michael Carter","NYJ","153.7","642.4","3.8","31.6","242.2","1.1","1.8","146.2"
"","high","185.0","755.0","4.0","35.7","279.0","1.7","0.7","165.0"
"","low","134.3","577.6","3.4","28.7","221.1","0.9","3.0","141.9"
"Kenyan Drake","LV","135.2","562.2","4.6","35.1","247.5","0.8","1.4","145.3"
"","high","155.0","626.0","6.0","51.7","379.3","1.9","0.7","155.9"
"","low","104.5","443.0","3.8","27.8","188.0","0.0","2.0","136.4"
"Melvin Gordon III","DEN","168.8","743.2","5.5","21.6","140.6","1.0","2.4","143.9"
"","high","204.0","903.0","7.0","25.4","176.9","1.0","1.8","171.4"
"","low","152.6","667.3","4.0","20.0","115.0","0.9","3.0","133.4"
"J.D. McKissic","WAS","65.7","283.9","1.5","56.4","410.1","1.7","0.8","143.7"
"","high","84.0","388.0","2.0","72.0","517.0","2.0","0.6","150.7"
"","low","54.1","228.9","1.0","46.9","350.0","1.0","1.0","133.7"
"Jamaal Williams","DET","139.9","574.5","3.5","35.5","240.9","1.2","1.2","143.1"
"","high","148.0","614.7","4.0","45.0","303.0","2.0","0.4","152.4"
"","low","125.0","525.0","3.0","27.8","182.8","1.0","2.0","140.9"
"James Conner","ARI","145.5","653.0","5.5","22.9","160.5","0.7","1.4","139.1"
"","high","171.0","873.0","7.0","28.1","202.6","1.0","0.8","174.3"
"","low","126.1","532.8","4.4","17.0","116.0","0.0","2.0","121.5"
"James White","NE","51.8","211.8","1.7","51.8","418.9","2.3","1.2","136.7"
"","high","63.0","259.0","2.4","55.0","460.0","3.0","0.4","153.7"
"","low","43.6","184.2","1.0","47.5","391.5","1.8","2.0","130.3"
"Trey Sermon","SF","145.4","660.0","5.4","19.4","157.8","1.0","1.8","135.7"
"","high","172.4","778.3","7.3","21.0","170.0","1.2","0.6","161.7"
"","low","124.0","569.7","4.0","17.0","149.9","0.8","3.0","119.7"
"Nyheim Hines","IND","60.4","261.2","1.9","49.9","371.5","2.2","1.2","135.1"
