"Player","Team","REC","YDS","TDS","FL","FPTS"
"Jeremy Sprinkle","DAL","6.9","71.4","0.5","0.0","17.1"
"Tommy Sweeney","BUF","6.0","75.5","0.5","0.0","16.7"
"J.P. Holtz","CHI","5.9","73.2","0.5","0.0","16.2"
"Noah Togiai","IND","6.4","60.9","0.5","0.0","15.6"
"Daniel Brown","NYJ","5.4","63.6","0.5","0.0","14.8"
"Zach Gentry","PIT","6.1","54.9","0.5","0.0","14.4"
"Charlie Woerner","SF","5.4","63.8","0.4","0.0","14.4"
"Richard Rodgers","PHI","5.0","65.7","0.5","0.0","14.3"
"Stephen Anderson","LAC","5.3","65.6","0.4","0.0","14.2"
"Jesse James","CHI","6.1","51.3","0.5","0.0","14.1"
"Johnny Mundt","LAR","5.4","57.1","0.5","0.0","13.9"
"Antony Auclair","HOU","4.9","54.5","0.5","0.0","13.4"
"Josh Oliver","BAL","4.3","44.2","0.4","0.0","11.3"
"Colby Parkinson","SEA","4.2","44.0","0.5","0.0","11.3"
"Josiah Deguara","GB","4.3","47.1","0.4","0.1","11.2"
"Ben Ellefson","JAC","4.2","41.9","0.3","0.0","10.4"
"Demetrius Harris","ARI","3.8","39.2","0.4","0.0","10.0"
"Luke Stocker","TEN","3.9","37.8","0.4","0.1","9.7"
"Alize Mack","DET","4.1","39.4","0.2","0.0","9.2"
"Mason Schreck","CIN","3.5","36.4","0.3","0.0","8.7"
"Tyree Jackson","PHI","3.5","36.2","0.2","0.0","8.4"
"Dominique Dafney","GB","2.4","25.7","0.2","0.0","6.3"
"Lee Smith","ATL","2.6","25.0","0.2","0.0","6.2"
"Sean McKeon","DAL","2.6","26.7","0.2","0.0","6.1"
"Cethan Carter","MIA","2.5","24.2","0.1","0.0","5.6"
"Jordan Franks","CLE","2.1","23.5","0.2","0.0","5.5"
"Trevon Wesco","NYJ","2.3","24.3","0.1","0.0","5.4"
"Kaden Smith","NYG","2.5","22.1","0.1","0.0","5.4"
"Eric Saubert","DEN","2.3","22.7","0.1","0.0","5.4"
"Ricky Seals-Jones","WAS","1.5","18.3","0.2","0.0","4.3"
"Zach Davidson","MIN","1.7","17.6","0.1","0.0","4.3"
"Tanner Hudson","TB","1.5","15.7","0.2","0.0","3.9"
"Temarrick Hemingway","WAS","1.4","16.1","0.1","0.0","3.5"
"Brandon Dillon","MIN","1.3","13.8","0.1","0.0","3.3"
"Matt LaCosse","NE","1.2","12.8","0.1","0.0","2.8"
"Eric Tomlinson","BAL","1.2","11.7","0.1","0.0","2.8"
"Codey McElroy","TB","0.9","8.6","0.1","0.0","2.3"
"Kevin Rader","PIT","0.9","8.7","0.0","0.0","2.0"
"Isaac Nauta","GB","0.8","8.3","0.1","0.0","2.0"
"Tyrone Swoopes","WAS","0.9","9.6","0.0","0.0","1.8"
"Garrett Griffin","NO","0.8","8.8","0.0","0.0","1.8"
"Hakeem Butler","PHI","0.8","8.4","0.0","0.0","1.7"
"Jason Croom","PHI","0.8","8.5","0.0","0.0","1.7"
"Jesper Horsted","CHI","0.8","8.3","0.0","0.0","1.7"
"Deon Yelder","TEN","0.8","7.3","0.0","0.0","1.7"
"MyCole Pruitt","SF","0.8","8.2","0.0","0.0","1.6"
"Cole Hikutini","NYG","0.8","7.2","0.0","0.0","1.5"
"Colin Thompson","CAR","0.7","6.8","0.0","0.0","1.4"
""
""
