"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Marlon Mack","IND","73.7","315.5","2.6","8.7","62.2","0.2","0.6","61.8"
"Joshua Kelley","LAC","90.4","338.4","2.2","9.3","66.6","0.2","1.2","61.4"
"DeeJay Dallas","SEA","47.3","188.9","1.5","16.7","122.7","0.9","0.6","61.1"
"Cordarrelle Patterson","ATL","49.2","225.2","1.4","14.0","123.4","0.7","0.2","61.0"
"Chuba Hubbard","CAR","61.8","261.0","2.0","10.6","86.0","0.4","1.1","57.3"
"Rhamondre Stevenson","NE","61.3","266.6","2.1","9.7","73.3","0.4","1.1","56.7"
"Mark Ingram II","HOU","54.3","220.2","1.7","10.5","88.3","0.7","0.6","54.2"
"Salvon Ahmed","MIA","57.8","241.7","1.5","11.4","76.3","0.4","0.3","54.2"
"Wayne Gallman","SF","51.2","225.9","2.3","9.4","72.8","0.4","0.7","54.2"
"Trayveon Williams","CIN","48.0","205.3","1.3","14.1","113.0","0.5","1.5","53.7"
"Jeff Wilson Jr.","SF","52.7","229.9","2.7","5.2","47.7","0.6","1.0","51.1"
"Kenneth Gainwell","PHI","46.0","210.7","1.4","11.4","89.5","0.4","1.1","50.2"
"Jake Funk","LAR","44.4","184.8","2.1","9.4","75.4","0.3","0.2","49.3"
"Samaje Perine","CIN","50.8","214.7","1.5","9.1","61.6","0.2","0.1","46.5"
"Jalen Richard","LV","23.7","103.6","0.5","16.3","129.1","0.5","0.6","44.0"
"Benny Snell Jr.","PIT","60.0","222.4","1.8","6.4","43.4","0.1","0.6","43.1"
"Matt Breida","BUF","42.8","189.2","1.0","9.6","76.3","0.4","1.1","42.2"
"Mike Boone","DEN","47.0","223.6","1.5","6.4","43.4","0.1","0.6","42.0"
"Peyton Barber","WAS","59.2","209.5","2.2","5.0","33.0","0.1","0.6","41.9"
"Carlos Hyde","JAC","52.6","213.4","1.4","6.3","36.6","0.1","0.6","38.8"
"Javian Hawkins","ATL","50.3","206.9","1.6","4.6","35.4","0.1","0.2","38.8"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","70.0","1.0","0.0","38.0"
"Brandon Bolden","NE","19.4","98.7","2.3","4.9","48.8","0.6","0.0","37.0"
"Jermar Jefferson","DET","27.9","113.8","0.8","10.6","78.6","0.1","0.1","35.2"
"Larry Rountree III","LAC","36.8","154.6","1.4","4.6","34.9","0.2","0.2","32.7"
"Brian Hill","TEN","36.0","171.2","0.7","5.3","37.3","0.2","0.2","31.4"
"Devonta Freeman","NO","18.1","73.3","0.5","9.7","78.0","0.5","0.1","31.0"
"Jaylen Samuels","PIT","26.5","111.0","0.6","7.8","51.7","0.3","0.1","29.7"
"Kerryon Johnson","PHI","34.0","141.6","1.2","4.1","33.3","0.2","0.2","29.1"
"Elijah Mitchell","SF","26.8","124.1","0.8","5.7","51.5","0.2","0.1","29.0"
"La'Mical Perine","NYJ","32.6","137.2","1.0","4.3","31.4","0.2","0.2","27.5"
"Ito Smith","ARI","26.7","112.2","1.0","5.7","39.1","0.2","0.2","27.5"
"Jerick McKinnon","KC","21.5","95.0","0.4","6.8","48.2","0.2","0.1","24.8"
"Anthony McFarland Jr.","PIT","30.3","116.2","0.5","5.7","45.0","0.1","0.6","24.5"
"Raymond Calais","LAR","23.1","97.6","0.8","4.6","35.5","0.2","0.1","24.2"
"Chris Evans","CIN","24.4","96.9","0.4","4.4","32.8","0.2","0.1","20.6"
"Justice Hill","BAL","19.1","87.8","0.6","4.3","30.9","0.1","0.1","20.2"
"Ameer Abdullah","MIN","15.4","68.7","0.1","6.2","43.8","0.4","0.0","20.1"
"Kylin Hill","GB","25.2","101.9","0.3","3.7","27.8","0.1","0.1","18.7"
"Patrick Ricard","BAL","0.9","1.4","0.0","8.8","58.4","0.8","0.5","18.6"
"Demetric Felton","CLE","18.7","90.2","0.7","2.5","20.6","0.0","0.0","17.8"
"Jeremy McNichols","TEN","19.4","87.4","0.3","3.6","22.8","0.0","0.0","16.6"
"Alec Ingold","LV","4.4","18.8","0.2","6.6","54.5","0.3","0.1","16.4"
"Trey Edmunds","PIT","14.8","64.0","0.4","3.9","25.8","0.2","0.0","16.3"
"Travis Homer","SEA","15.5","65.7","0.3","4.2","30.5","0.1","0.1","16.0"
"Gerrid Doaks","MIA","12.2","50.9","0.4","4.4","32.8","0.1","0.1","16.0"
"Rico Dowdle","DAL","15.5","64.6","0.5","3.3","26.5","0.1","0.0","15.6"
"C.J. Ham","MIN","4.8","20.0","0.2","5.9","49.8","0.3","0.1","15.5"
"Reggie Bonnafon","CAR","19.2","87.9","0.4","2.3","17.7","0.0","0.0","15.2"
