"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Adam Humphries","WAS","30.3","330.9","1.6","0.0","0.0","0.0","0.1","72.7"
"Preston Williams","MIA","24.5","314.7","2.9","0.0","0.0","0.0","0.6","72.4"
"Dyami Brown","WAS","23.3","324.6","1.8","0.0","0.0","0.0","0.2","66.0"
"Damiere Byrd","CHI","26.7","304.7","1.5","0.3","2.0","0.0","0.6","65.5"
"Tyron Johnson","LAC","19.9","311.3","2.1","2.3","13.0","0.0","0.1","65.2"
"Richie James Jr.","SF","23.8","364.3","1.5","0.8","0.0","0.0","2.1","64.8"
"Quintez Cephus","DET","23.9","316.6","1.5","0.0","0.0","0.0","0.2","64.2"
"Byron Pringle","KC","22.6","290.2","2.0","0.0","0.0","0.0","0.2","63.4"
"Travis Fulgham","PHI","22.4","290.2","1.6","0.0","0.0","0.0","0.1","60.9"
"Tutu Atwell","LAR","21.3","276.9","1.4","0.0","0.0","0.0","0.2","56.7"
"Auden Tate","CIN","20.7","261.7","1.4","0.0","0.0","0.0","0.1","55.2"
"Isaiah McKenzie","BUF","18.9","200.7","1.9","5.7","28.5","0.2","0.1","54.4"
"Scotty Miller","TB","17.0","244.7","1.8","1.4","7.7","0.1","0.1","53.6"
"Isaiah Coulter","HOU","18.3","275.6","1.5","1.0","4.0","0.0","1.0","53.3"
"Amari Rodgers","GB","18.0","221.4","1.3","2.0","12.4","0.1","0.1","49.5"
"Donovan Peoples-Jones","CLE","17.1","225.6","1.6","0.0","0.0","0.0","0.1","48.8"
"Greg Ward","PHI","21.1","208.9","1.2","0.0","0.0","0.0","0.2","48.5"
"Collin Johnson","JAC","17.9","212.9","1.1","0.0","0.0","0.0","0.1","45.5"
"Devin Duvernay","BAL","17.0","188.1","1.2","1.7","11.7","0.0","0.1","44.3"
"Bisi Johnson","MIN","16.4","188.2","1.3","0.0","0.0","0.0","0.0","42.8"
"N'Keal Harry","NE","15.4","187.0","1.3","0.9","5.6","0.0","0.1","42.7"
"Dez Fitzpatrick","TEN","15.4","200.3","1.0","0.0","0.0","0.0","0.1","41.2"
"Marquise Goodwin","CHI","15.0","197.9","1.0","0.0","0.0","0.0","0.1","40.9"
"Ty Montgomery","NO","14.8","155.3","1.0","8.5","39.0","0.1","0.1","40.4"
"Freddie Swain","SEA","14.0","175.7","1.4","0.0","0.0","0.0","0.1","39.7"
"Phillip Dorsett II","JAC","14.2","172.7","1.1","0.0","0.0","0.0","0.1","37.9"
"Willie Snead IV","LV","14.4","167.8","0.9","0.0","0.0","0.0","0.1","36.4"
"David Moore","CAR","11.7","160.7","1.0","1.2","7.7","0.0","0.1","34.3"
"Dede Westbrook","MIN","12.0","127.7","1.0","0.7","3.6","0.0","0.1","31.1"
